test,status,actual,expected,notes
matrix_47_prefectures,PASS,47,47 unique prefectures,
long_94_prefecture_years,PASS,94,94 = 47 prefectures x R7/R8,
FY2025_47_searches,PASS,47,47,
FY2026_47_searches,PASS,47,47,
search_log_94,PASS,94,"94, all YES",
period_type_allowed,PASS,[],no invalid period type,
no_internal_language_long,PASS,scan,no internal-data dependency,
no_internal_framework_integrated,PASS,scan,no internal framework,
integrated_235_rows,PASS,235,235 = 47 x 5 FY,
integrated_stage1_141_standardized,PASS,141,141,
public_data_gaps_940,PASS,940,940 = 47 x 2 x 10 categories,
comparison_candidates_10,PASS,10,10,
advanced_candidates_12,PASS,12,12,
government_bonds_le_securities,PASS,0,0,
ratio_ranges,PASS,0,0,
securities_not_over_scope_base,PASS,0,0,Scope/average-vs-year-end differences can make direct check non-comparable; no silent correction.
searched_not_found_has_no_numeric_metrics,PASS,0,0,
found_rows_have_source_url,PASS,0,0,
source_dictionary_no_internal,PASS,scan,no internal-data dependency,
ehime_public_only_status,PASS,"[{'fiscal_year': 2025, 'data_status': 'SEARCHED_NOT_FOUND', 'comparison_level': 'E'}, {'fiscal_year': 2026, 'data_status': 'SEARCHED_NOT_FOUND', 'comparison_level': 'E'}]","R7/R8 SEARCHED_NOT_FOUND, level E",
obsolete_internal_request_file_absent,PASS,False,False,
ABC_source_page_audit,WARN,46,0,"Blank entries are PDF sources where exact page was not independently confirmed; URL/document retained, no guessed page numbers."
comparison_levels_all_47,PASS,"{'D': 32, 'B': 6, 'E': 5, 'A': 2, 'C': 2}",sum 47,
disclosure_score_bounds,PASS,0,0-20,
public_gap_status_allowed,PASS,[],allowed statuses only,
