fund,R8_withdrawal_oku_yen,liability_type,R9_R12_public_evidence,certainty_class,lockability_assessment,confidence,R8_share_of_all_withdrawals_pct
財政基盤強化積立金,107.0,財政調整・政策バッファ,"R8末残高121億円見込。R9以降の確定取崩額は未公表",条件付き・政策判断,"1年超拘束は慎重。政策バッファとして即時性を優先",中,30.410026054855592
県債管理基金,37.5645,債務償還,"R8末残高216億円見込。R9以降は県債償還予定との接続が必要",確定性高いが時期表未整備,"償還年次と満期を一致させれば一部中長期化可能",中,10.676050689136664
職員退職手当基金,37.0,退職手当平準化,"R9以降の基金取崩年次表は公開確認できず",継続的,"人員年齢構成で予測可能性はあるが公開情報のみでは長期固定根拠不足",低,10.515616486258477
地域医療介護総合確保基金,34.21152,毎年度事業,"医療分残高約64.73億円（R8.5.31）。R9事業提案募集済。終了時期なし",継続的・高確度1～2年,"12～24か月は予測可能、3～5年は毎年度更新前提",中,9.72311415491788
県立学校教育環境整備基金,27.46937,施設整備,"振興計画R5～R14、整備完了指標R5～R10",高確度複数年,"R10までの事業工程に満期を対応。計画終期超の固定は慎重",高,7.8069556767333514
企業立地促進基金,23.25831,企業立地・産業用地,"R8積立30.73008億円。案件成立に依存しR9以降額は未確定",条件付き,"案件決定前資金は一定期間運用可能だが支払条件確認が必要",中,6.610147785905686
県有施設更新整備基金,22.4266,施設更新,"新居浜警察署等でR9解体、R10車庫、R11宿舎等の工程が公開",高確度複数年,"1～5年の工程連動型。基金全体を長期コア扱いしない",高,6.373770937587145
デジタル社会形成推進基金,13.95915,DX事業,"現行実行計画はR8まで。R9以降次期計画未確認",継続だが計画更新待ち,"R8以内短期、R9以降は次期計画判明まで保守的",中,3.967272104706892
森林環境保全基金,8.19662,年度事業,"R7/R8予算・実績あり。毎年度公募・指定事業",継続的,"1年以内の精度は高い。2～5年は政策ベース予測",中,2.3295273622593498
災害に強い愛媛づくり基金,7.84577,防災・災害対応,"平時事業は予算化、災害時支出は外生的",突発的,"平均支出ではなくストレス即時性を管理。長期固定を抑制",中,2.2298137394430313
スポーツ推進基金,5.31301,年度事業,"第2期スポーツ推進計画・年度事業あり。年次取崩表未確認",継続的,"1年ローリング中心。3～5年固定は慎重",低,1.5099885283150312
とべ動物園魅力向上基金,3.68625,施設・魅力向上,"行動計画R1～R9、第3期R7～R9",高確度短中期,"少なくともR9までの計画期間内に満期を合わせる",高,1.0476538181748731
官民共創推進基金,3.33536,新設・官民共創,"R8設置、積立39.4億円。明示的sunsetなし",新設・履歴不足,"R8/R9実績が蓄積するまで3～5年コア判定を抑制",低,0.9479288271245155
農林水産業体質強化緊急対策基金,2.92212,複数事業,"一部事業でR9 0.96億円、R10 1.25億円等の想定あり（基金全体額ではない）",一部高確度,"主要事業を積上げて1～3年満期へ接続",中,0.8304836012655572
資源循環促進基金,2.59961,年度事業,"R8基金充当事業あり。R9以降確定額未公表",継続的,"1年以内厚め、2～5年は毎年度更新",低,0.7388243722660108
