constraint_id,policy_area,metric,value,unit,period,source_page,policy_status,alm_treatment,additive_to_cash_buffer,notes
POLICY-PERIOD,policy_scope,財政運営基本方針の対象期間,4,years,R5-R8,12,policy_period,分析の政策制約期間として使用,no,令和5～8年度の4年間
FUND-FLOOR-400,liquidity_buffer,財源対策用基金残高の安定確保目標,400,億円,R5-R8,12-14,explicit_target,財源対策用基金について少なくとも400億円規模を高流動性の政策バッファとしてring-fence,policy_floor,普通預金400億円を意味するとまでは明記されないが「一定規模のキャッシュ確保が重要」と記載
FUND-R3-BALANCE,liquidity_buffer,財源対策用基金残高_R3決算,447,億円,R3,14,actual_reference,政策目標設定の基準実績,no,標準財政規模比12.05%
FUND-R4-BALANCE,liquidity_buffer,財源対策用基金残高_R4決算,491,億円,R4,14,actual_reference,政策目標設定の基準実績,no,標準財政規模比13.53%
FUND-R3-SFS-RATIO,liquidity_buffer,財源対策用基金残高_標準財政規模比_R3,12.05,percent,R3,14,actual_reference,400億円目標の外部比較根拠,no,全国平均11.65%
FUND-R4-SFS-RATIO,liquidity_buffer,財源対策用基金残高_標準財政規模比_R4,13.53,percent,R4,14,actual_reference,400億円目標の外部比較根拠,no,全国平均12.20%
DISASTER-2018,stress_test,平成30年西日本豪雨対応の財源対策用基金投入累計,183,億円,H30,14,historical_stress,災害ストレスシナリオの規模根拠,conditional,400億円目標の根拠の一つであり自動的に400億円へ加算しない
LAT-CUT-H16-H18,stress_test,三位一体改革時の地方交付税減少累計,407,億円,H16-H18,14/21,historical_stress,歳入ショックのストレステスト根拠,conditional,400億円目標の根拠の一つであり自動的に400億円へ加算しない
SHORTFALL-R6,medium_term_fiscal_pressure,中期財政見通しの財源不足額,122,億円,R6,8-9,forecast,1年以内の財政圧力としてnear-cash・短期満期設計へ反映,no,財源対策実施前の機械的試算
SHORTFALL-R7,medium_term_fiscal_pressure,中期財政見通しの財源不足額,113,億円,R7,8-9,forecast,1～3年の財政圧力として満期ラダーへ反映,no,財源対策実施前の機械的試算
SHORTFALL-R8,medium_term_fiscal_pressure,中期財政見通しの財源不足額,98,億円,R8,8-9,forecast,1～3年の財政圧力として満期ラダーへ反映,no,財源対策実施前の機械的試算
SHORTFALL-R6-R8,medium_term_fiscal_pressure,R6～R8財源不足累計,333,億円,R6-R8,8-9,forecast,3年以内の債券満期ラダーと基金支出見通しのストレス参照値,no,各年度不足122+113+98。即時現金へ一括加算しない
FACILITY-RENEWAL,planned_liability,県有施設を同規模再整備する場合の平均更新費用,180,億円/年,R5-R25試算,7,forecast_reference,1～5年・5年以上の満期配分を施設更新計画と照合,no,30年大規模修繕・60年建替の機械的試算
LARGE-FACILITY-THRESHOLD,planned_liability,大規模施設整備の毎年度見直し基準,3,億円以上,R5-R8,19,policy_rule,個別支出時期をALM負債側へ登録,no,大規模事業等の計画的推進
LARGE-PROJECT-THRESHOLD,planned_liability,大規模プロジェクトの毎年度見直し基準,10,億円以上,R5-R8,19,policy_rule,個別支出時期をALM負債側へ登録,no,大規模事業等の計画的推進
LARGE-EVENT-THRESHOLD,planned_liability,大規模イベントの毎年度見直し基準,0.5,億円以上,R5-R8,19,policy_rule,個別支出時期をALM負債側へ登録,no,5000万円以上
DEBT-TARGET,debt_management,県民一人当たり公債費・県債残高,全国平均未満,text,R5-R8,12,explicit_target,基金運用とは別に公債費・償還カレンダーをALM負債側へ接続,no,将来世代への負担適正化
DEBT-POLICY,debt_management,県債運営方針,有利な県債活用・将来負担抑制・調達先多様化,text,R5-R8,22,policy_rule,債券資産運用と県債負債管理を混同せず統合ALMで確認,no,金利動向を注視し交付税措置のある有利な県債を最大限活用
