file,data_type,period,unit,geography,definition,primary_or_derived,usable,limitation,management_question
processed/prefecture_fund_investment_R4_R6.csv,national_panel,R4-R6,million_yen/pct,47_prefectures,MIC unified year-end fund/assets dataset,derived_from_public_statistics,yes,R7 not included; year-end basis,1;2;7
processed/ehime_analysis.csv,national_summary,R6,million_yen/pct,Ehime_vs_47,Ehime position in R6 unified dataset,derived_numeric,yes,summary only; use as check not sole evidence,1
stage3/processed/summary_statistics.csv,national_summary,R6/R7,pct,47/R7_comparable_sample,distribution/comparability summary,derived_numeric,yes,R7 sample only 5 direct quantitative peers,1;10
stage3/processed/R7_fund_allocation_core.csv,peer_allocation,R7,100m_yen/pct,5_prefectures,annual-average actual fund allocation for directly comparable peers,derived_from_primary_sources,yes,small non-random disclosure sample,7;10
stage3/processed/R7_strict_comparability_47.csv,disclosure_quality,R7,class,47_prefectures,comparability classification,derived_assessment,yes,classification depends on public disclosure search,7
stage3/processed/management_features.csv,peer_management,R7-R8,text,multiple_prefectures,pooled management/maturity/risk features,derived_fact_extract,yes,use factual fields only; no normative inference,7;10;13
stage4/processed/ehime_fund_balance_R2_R6.csv,ehime_time_series,R2-R6,million_yen,Ehime,total and selected fund year-end balances,derived_from_public_data,yes,selected-fund coverage only,2;5
stage4/processed/ehime_fund_substitution_period_totals.csv,liquidity_history,R3-R6,million_yen/100m_yen,Ehime,16 period totals of fund substitution to treasury,derived_from_public_financial_statements,yes,period-level not daily/weekly,3;4;6
stage4/processed/ehime_fund_substitution_R3_R6_long.csv,liquidity_by_fund,R3-R6,million_yen,Ehime,fund-level composition of substitution by period,derived_from_public_financial_statements,yes,only funds actually used for substitution,3;5
stage4/processed/ehime_R8_fund_withdrawals.csv,budget_withdrawals,R8_budget,100m_yen,Ehime,general-account fund draw budget by fund,derived_from_budget_explanation,yes,budget not actual; excludes non-general-account uses,5;6
stage4/processed/ehime_fund_current_universe_R8.csv,fund_universe,R8_budget,thousand_yen/100m_yen,Ehime,current public evidence/interest/withdrawal,derived_fact_extract,yes,interest/dividend budget does not reveal principal or yield,2;5;8
stage4/processed/ehime_fiscal_management_policy_constraints.csv,fiscal_policy,R5-R8,100m_yen/pct/text,Ehime,policy targets/stress references/medium-term pressure,mixed,partial,use metric/value/source facts only; ignore alm_treatment,3;5;11
stage4/processed/ehime_medium_term_fiscal_outlook_R6_R8.csv,fiscal_forecast,R6-R8,100m_yen,Ehime,mechanical pre-measure fiscal shortfall outlook,mixed,partial,use shortfall figures/notes only; ignore prior ALM-use field,11
stage4/processed/ehime_fund_ordinance_liquidity_register.csv,fund_rules,current/R6-R8,text/100m_yen,Ehime,ordinance/public facts by fund,mixed,partial,use purpose/floor/current amount/withdrawal/source IDs only; ignore interpretation/maturity recommendation,5;13
stage4/processed/ehime_fund_classification.csv,fund_classification,R2-R6,text,Ehime,selected fund factual evidence plus prior interpretation,mixed,no_as_input,interpretive columns exposed; Stage11 will independently classify from raw factual files,5
stage6/public_source_expansion/public_funds_policy_sources.csv,source_register,current/H23,text,Ehime,public-status register for public funds policy/legal framework,source_register,yes,current full policy text not publicly found as of 2026-09-16,13
stage6/public_source_expansion/r7_settlement_public_sources_20260916.csv,source_register,R7/R8,text,Ehime,R7 settlement publication status,source_register,yes,detailed settlement book/property statement not public as of cutoff,2;5;6
stage6/public_source_expansion/finance_affairs_catalog_H14_R8.csv,source_catalog,H14-R8,text,Ehime,official Finance Affairs documents catalog,source_register,yes,not all documents structurally extracted,3;4
stage6/public_source_expansion/finance_affairs_cashflow_findings.md,factual_extract,R3-R7,text,Ehime,verified borrowing/repayment timing from Finance Affairs,mixed,partial,use verified annual pattern only; ignore Interpretation/old chapter suggestions,3;4
stage6/public_source_expansion/major_funds_cashflow_source_register.csv,source_register,multi-year,text,Ehime,primary-source register for major fund future flows,source_register,yes,availability differs by fund,5;6
stage7/external_benchmark_market_evidence/source_dictionary.csv,source_register,current,text,Japan/peers,external benchmark source dictionary,source_register,yes,definitions differ by source,7;8;10
stage7/external_benchmark_market_evidence/peer_cases/peer_case_comparison.csv,peer_management,R6-R8,100m_yen/pct/text,selected_prefectures,portfolio and management facts, mixed,partial,use factual columns only; ignore Ehime-transferability field,7;10;13
stage7/external_benchmark_market_evidence/market_data/deposit_rates_by_maturity.csv,market_rates,2023-2026,pct,Japan,BOJ deposit posted average rates,derived_from_primary,yes,not municipal negotiated rate,8;12
stage7/external_benchmark_market_evidence/market_data/jgb_yields_by_maturity.csv,market_rates,2026,pct,Japan,MOF primary-auction yield snapshots,derived_from_primary,yes,not same-date curve and not municipal realized yield,8;9;10;12
stage7/external_benchmark_market_evidence/market_data/deposit_rate_annual_summary.csv,market_rates,2023-2026,pct,Japan,annual/simple-period average of deposit series,derived_numeric,yes,2026 is Jan-Aug only,8
stage4/processed/evidence_table.csv,external_practice/literature,2003-2025,text,international,OECD/IMF/WB/academic findings,mixed,partial,use main finding/source only; ignore prior Ehime implication field,13
stage4/reports/ehime_fund_bond_management_consulting_report_R7_R8.md,prior_report,prohibited,NA,Ehime,prior canonical report,prior_analysis,NO,absolute firewall,all
stage4/reports/*,prior_report_material,prohibited,NA,Ehime,prior report family,prior_analysis,NO,firewall unless separately established as pure primary-source extract,all
stage5/consulting_report_benchmark/*,consulting_benchmark,2025-2026,text,global,public consulting-report methods,mixed,partial,use external-firm observations only if needed; do not use Ehime application/gap scores,writing_only
stage8/*;stage9/*;stage10/*,prior_report_rewrite_and_QA,prohibited,NA,Ehime,prior report rewrite/assessment/execution,prior_analysis,NO,absolute firewall,all
