author,year,title,medium,subject,main_finding,implication_for_ehime,url
OECD,2025,Managing Government Cash: A Review of Practices in OECD Countries,OECD report,政府キャッシュマネジメント,単一の最適モデルはなく、キャッシュバッファは資金フロー予測、市場アクセス、リスク許容度、ガバナンスに依存。,愛媛県の必要現金を固定比率ではなくキャッシュフローから設定する根拠。,https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/02/managing-government-cash_d47b35b7/7675eb58-en.pdf
World Bank,2020,Forecasting and Targeting Government Cash Balances,World Bank,政府キャッシュマネジメント,予測と流動性戦略を組み合わせ、日々の変動と予測誤差に備えるバッファを設定。,基金繰替実績を季節予測・予測誤差バッファへ接続。,https://documents1.worldbank.org/curated/en/625511593411466514/pdf/Forecasting-and-Targeting-Government-Cash-Balances.pdf
IMF,2020,How to Set Up A Cash Buffer,IMF How-To Note,cash buffer,不確実なキャッシュフローと資金調達リスクを緩和するバッファを、コストとの比較で設定。,最大需要だけでなくストレス・予測誤差を別枠で設計。,https://www.imf.org/en/Publications/Fiscal-Affairs-Department-How-To-Notes/Issues/2020/11/17/How-to-Set-Up-A-Cash-Buffer-A-Practical-Guide-to-Developing-and-Implementing-a-Cash-Buffer-49851
IMF,2020,How to Develop a Framework for Investment of Temporary Government Cash Surpluses,IMF How-To Note,surplus cash investment,余剰流動性を識別し、安全性・流動性・収益性を統合した政策枠組みで運用。,「余剰」の判定を先に行い、その後で債券商品を選ぶ順序を支持。,https://www.imf.org/en/Publications/Fiscal-Affairs-Department-How-To-Notes/Issues/2020/12/21/How-to-Develop-a-Framework-for-Investment-of-Temporary-Government-Cash-Surpluses-49954
Bo Zhao,2016,Saving for a rainy day: Estimating the needed size of U.S. state budget stabilization funds,Regional Science and Urban Economics,米州政府Rainy Day Fund,必要準備額は州ごとに異なり、歳入循環性と政策選好を踏まえて推計すべき。,400億円等の残高目標をそのまま即時現金必要額とみなさない。,https://www.sciencedirect.com/science/article/abs/pii/S0166046216301727
Yilin Hou,2003,What Stabilizes State General Fund Expenditures in Downturn Years—Budget Stabilization Fund or General Fund Unreserved Undesignated Balance?,Public Budgeting & Finance,州政府安定化基金,安定化基金は景気後退期の支出安定化に機能し、一般残高とは役割が異なる。,財政バッファの存在意義と運用流動性を区別する根拠。,https://onlinelibrary.wiley.com/doi/abs/10.1111/1540-5850.2303004
Gary A. Wagner; Erick M. Elder,2005,The Role of Budget Stabilization Funds in Smoothing Government Expenditures over the Business Cycle,Public Finance Review,州政府安定化基金,制度化されたルールを持つ基金で支出変動の抑制効果が確認される。,残高額だけでなく取崩ルール・ガバナンスを重視。,https://journals.sagepub.com/doi/10.1177/1091142105276442
Wenchi Wei; Dwight V. Denison,2019,State Rainy Day Funds and Government General Fund Expenditures: Revisiting the Stabilization Effect,Public Finance Review,州政府Rainy Day Fund,実際の基金使用が景気局面を通じて一般基金支出の安定化に寄与。,平時残高ではなく実際の使用実績を分析する必要性。,https://journals.sagepub.com/doi/10.1177/1091142118819991
Julius A. Nukpezah,2018,The effects of institutional typologies on the performance of state-sponsored local government investment pools,Public Money & Management,LGIP・公金運用,運用制度の類型がリスク・リターンと説明責任に影響。,一括運用の導入だけでなくリスク統制・制度設計を同時に整備。,https://www.tandfonline.com/doi/full/10.1080/09540962.2018.1434344
Gary A. Wagner,2003,Are state budget stabilization funds only the illusion of savings?: Evidence from stationary panel data,Quarterly Review of Economics and Finance,州政府安定化基金,安定化基金と一般基金残高の代替性を示し、勘定区分だけで実質的備えを判断できない。,基金名目残高と実際に即時利用可能な流動性を区別。,https://www.sciencedirect.com/science/article/abs/pii/S1062976901001326
