rank,fund_name,R8_withdrawal_oku_yen,primary_public_sources,public_horizon_or_timing,cashflow_reconstructability,key_cashflow_evidence,remaining_gap
1,財政基盤強化積立金,107.00000,https://www.pref.ehime.jp/uploaded/attachment/169527.pdf,"R6 actual; R7 end forecast; R8 flow/end forecast",medium_high,"R6末260→R7積立27/取崩60→R7末227見込→R8積立1/取崩107→R8末121見込",R9以降の確定取崩計画は未公表
2,県債管理基金,37.56450,https://www.pref.ehime.jp/uploaded/attachment/169527.pdf,"R6 actual; R7 end forecast; R8 flow/end forecast",medium_high,"R6末230→R7積立16/取崩37→R7末209見込→R8積立44/取崩37→R8末216見込",R9以降の償還対応分を基金単体cash-flowへ落とす追加作業が必要
3,職員退職手当基金,37.00000,https://www.pref.ehime.jp/page/102289.html,R8 budget only,low,"R8当初で37億円取崩予定",年齢構成/年度別退職手当見込と基金取崩計画の1～5年公表表は未確認
4,地域医療介護総合確保基金,34.21152,https://www.pref.ehime.jp/page/4330.html,"annual rolling plans; R9 proposals already solicited; no sunset",medium_high,"医療分残高約64.73億円(2026-05-31); R7計画公表; R9事業提案募集済み; 終了時期なし",介護分との統合cash-flow・R8/R9個別要望の一部は非公開
5,県立学校教育環境整備基金,27.46937,https://www.pref.ehime.jp/uploaded/attachment/169539.pdf;https://www.pref.ehime.jp/uploaded/attachment/38042.pdf,"school plan R5-R14; current facility program includes R5-R10 milestones",high_for_project_pipeline,"R8県立学校振興計画校舎等整備28.49787億円; 整備完了率100%目標R5-R10; 振興計画自体はR5-R14",基金全体の各年度取崩額をR9-R12まで一表で示す資料は未確認
6,企業立地促進基金,23.25831,https://www.pref.ehime.jp/uploaded/attachment/170546.pdf;https://www.pref.ehime.jp/uploaded/attachment/157410.pdf,"R7設置; R8積立・事業; R8産業用地公募等",medium,"R8基金積立30.73008億円; R8取崩23.25831億円; 東予港西条地区産業用地はR8公募を想定; 大型奨励金等の政策パイプラインあり",企業立地案件は発生条件依存で年度別支払額の確定性が低い
7,県有施設更新整備基金,22.42660,https://www.pref.ehime.jp/uploaded/attachment/137970.pdf;https://www.pref.ehime.jp/page/102289.html,"major capital projects with multi-year construction schedules",medium_high,"新居浜警察署はR7-8庁舎建築→R9旧庁舎解体→R10車庫→R11宿舎の工程が公開; R8基金取崩22.4266億円",基金充当全案件のR9-R12年度別支払額の統合表は未確認
8,デジタル社会形成推進基金,13.95915,https://www.pref.ehime.jp/page/60521.html;https://www.pref.ehime.jp/uploaded/attachment/137961.pdf,"current DX execution plan through R8; continuing policy need",medium,"DX実行プランで基金を長期的DX財源として位置付け; R7官民共創拠点整備等の基金充当事業; R8取崩13.95915億円",R9以降の次期DX計画・基金年度別取崩は未確定/未確認
9,森林環境保全基金,8.19662,https://www.pref.ehime.jp/page/6946.html;https://www.pref.ehime.jp/uploaded/attachment/175100.pdf,"annual program; forest environment tax extended through R11/R12 tax periods",high_for_annual_cycle,"R7/R8積立・事業費を同一表で比較可能; R8事業予算総計等を公開; 毎年度公募・指定事業のサイクルあり",R9以降の個別事業額は年度予算で決定
10,災害に強い愛媛づくり基金,7.84577,https://www.pref.ehime.jp/uploaded/attachment/170546.pdf;https://www.pref.ehime.jp/page/102289.html,no fixed sunset identified,low_by_design,"R8取崩7.84577億円; 南海トラフ等防災減災目的; 運用益積立も予算化",災害発生時支出は外生的で1～5年の確定cash-flow化に不向き
11,スポーツ推進基金,5.31301,https://www.pref.ehime.jp/soshiki/23/index.html;https://www.pref.ehime.jp/page/102289.html,"2nd Ehime sports promotion plan and annual programs",medium_low,"R8取崩5.31301億円; 第2期スポーツ推進計画と年度事業を公表",基金充当額の年度別1～5年計画は未確認
12,とべ動物園魅力向上基金,3.68625,https://www.pref.ehime.jp/uploaded/attachment/49083.pdf;https://www.pref.ehime.jp/uploaded/attachment/24811.pdf,"魅力向上行動計画 through R9",medium_high,"全体計画R1-R9・第3期R7-R9; ハード/ソフト両面の基金充当事業; R8取崩3.68625億円",R8/R9の全事業別支出総額を一表にした最新資料は要追加抽出
13,官民共創推進基金,3.33536,https://www.pref.ehime.jp/uploaded/attachment/174646.pdf;https://www.pref.ehime.jp/site/gikai/135186.html,"newly created R8; no explicit sunset",medium_low,"基金積立39.4億円; R8取崩3.33536億円; 官民共創の課題解決・未来創生事業に使用",新設直後でR9以降の年度別pipeline公表は未確認
14,農林水産業体質強化緊急対策基金,2.92212,https://www.pref.ehime.jp/uploaded/attachment/137968.pdf;https://www.pref.ehime.jp/page/102289.html,"multiple program-specific horizons; some projects through R10",medium,"媛スマ関連ではR7:34百万円→R8:67→R9:96→R10:125百万円の事業想定が公開され基金充当を明示; R8基金取崩2.92212億円",基金全体の事業群を年度別に統合する必要
15,資源循環促進基金,2.59961,https://www.pref.ehime.jp/uploaded/attachment/169532.pdf;https://www.pref.ehime.jp/page/102289.html,"annual environmental programs; R8 targets",medium_low,"R8海洋ごみ対策1.18310億円等で基金充当を明示; R8取崩2.59961億円",R9以降の年度別事業予算は未確定
TOTAL_TOP15,上位15基金,336.78819,,R8,coverage,"R8一般会計基金繰入351.85764億円の95.717%をカバー",残り17基金15.06945億円は第二優先
