H23_fund_name,2026_working_status,status_note,source_id
財政基盤強化積立金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
土地開発基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
県有施設維持管理基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
大規模県有施設整備基金,renamed,県有施設更新整備基金へ改称・目的拡張,EHIME-AUDIT-H23-FUNDS
県債管理基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
地域活性化・生活対策臨時基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
職員退職手当基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
「三浦保」愛基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
国民体育大会開催基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
消費者行政活性化基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
特定非営利活動促進基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
新しい公共支援基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
地域環境保全基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
グリーンニューディール基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
資源循環促進基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
災害救助基金,current_evidence,R8予算・特別会計で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-R8-BUDGET-DOCS;DISASTER-RELIEF-ACT
社会福祉施設整備基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
社会福祉施設等耐震化等臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
医療施設耐震化臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
医師確保奨学基金,current_evidence,R6決算で基金残高・貸付金・現金を確認,EHIME-AUDIT-H23-FUNDS;EHIME-SETTLEMENT-R6
地域医療再生基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
妊婦健康診査臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
地域自殺対策緊急強化基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
子宮頸がん等ワクチン接種緊急促進基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
安心こども基金,current_evidence,R8予算・令和7年度公表資料で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-ANSHIN-KODOMO
障害者自立支援対策臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
介護保険財政安定化基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
介護基盤緊急整備等臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
介護職員処遇改善等臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
国民健康保険広域化等支援基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
後期高齢者医療財政安定化基金,current_evidence,R8予算・令和7年度公表ページで現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-ELDERLY-MED-STAB
企業立地資金貸付基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
核燃料サイクル地域振興基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
県立高等技術専門校機器整備基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
ふるさと雇用再生特別基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
緊急雇用創出事業臨時特例基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
中山間ふるさと保全対策基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
森林整備担い手対策基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
森林整備地域活動支援基金,abolished,令和4年条例第16号で廃止,EHIME-AUDIT-H23-FUNDS;EHIME-ORDINANCE-R4-ABOLITIONS
森林環境保全基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
森林そ生緊急対策基金,abolished,平成31年条例第19号で廃止,EHIME-AUDIT-H23-FUNDS;EHIME-ORDINANCE-H31-ABOLITIONS
県有林経営事業基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
漁業振興資金積立金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
真珠産業振興基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
高等学校等修学支援基金,needs_status_check,R8一般会計の利子・繰入証拠は未確認。廃止と断定しない,EHIME-AUDIT-H23-FUNDS
県立学校火災等災害復旧基金,current_evidence,R8予算等で現存証拠あり,EHIME-AUDIT-H23-FUNDS;EHIME-BUDGET-R8-EXPLANATION
