fund_name,R8_budget_withdrawal_thousand_yen,R8_budget_withdrawal_oku_yen,budgeted_use_summary,alm_signal,source_id
漁業振興資金積立金,230000,2.30000,漁業振興関係,annual_program,EHIME-BUDGET-R8-EXPLANATION
県有施設維持管理基金,173213,1.73213,県有施設の維持管理（南予レクリエーション都市公園・とべ動物園等）,annual_committed,EHIME-BUDGET-R8-EXPLANATION
県有施設更新整備基金,2242660,22.42660,県有施設の更新整備（財産処分、新居浜警察署、県立図書館等）,capital_pipeline,EHIME-BUDGET-R8-EXPLANATION
県債管理基金,3756450,37.56450,県債償還等,debt_service,EHIME-BUDGET-R8-EXPLANATION
財政基盤強化積立金,10700000,107.00000,財源対策,fiscal_buffer_draw,EHIME-BUDGET-R8-EXPLANATION
職員退職手当基金,3700000,37.00000,職員退職手当の財源平準化,retirement_schedule,EHIME-BUDGET-R8-EXPLANATION
森林環境保全基金,819662,8.19662,森林環境保全・林業・自然環境関連事業,annual_earmarked,EHIME-BUDGET-R8-EXPLANATION
中山間ふるさと保全対策基金,42885,0.42885,中山間地域・農地保全,annual_program,EHIME-BUDGET-R8-EXPLANATION
スポーツ推進基金,531301,5.31301,スポーツ振興事業,annual_program,EHIME-BUDGET-R8-EXPLANATION
資源循環促進基金,259961,2.59961,資源循環・廃棄物対策,annual_earmarked,EHIME-BUDGET-R8-EXPLANATION
「三浦保」愛基金,179483,1.79483,環境・福祉・教育等の愛顔づくり事業,donation_endowment_spend,EHIME-BUDGET-R8-EXPLANATION
特定非営利活動促進基金,9902,0.09902,NPO活動促進,annual_program,EHIME-BUDGET-R8-EXPLANATION
安心こども基金,38550,0.38550,保育所整備等の子育て支援緊急対策,sunset_program,EHIME-BUDGET-R8-EXPLANATION
県立学校教育環境整備基金,2746937,27.46937,学校施設・ICT・空調・実習船等,capital_pipeline,EHIME-BUDGET-R8-EXPLANATION
農業構造改革支援基金,62690,0.62690,農業構造改革支援,annual_program,EHIME-BUDGET-R8-EXPLANATION
災害に強い愛媛づくり基金,784577,7.84577,南海トラフ等への防災・減災,stress_and_program,EHIME-BUDGET-R8-EXPLANATION
地域医療介護総合確保基金,3421152,34.21152,地域医療・介護体制整備,multi_year_program,EHIME-BUDGET-R8-EXPLANATION
自転車新文化推進基金,11350,0.11350,自転車新文化・関連イベント等,donation_program,EHIME-BUDGET-R8-EXPLANATION
農林水産業体質強化緊急対策基金,292212,2.92212,農林水産業の体質強化,program,EHIME-BUDGET-R8-EXPLANATION
とべ動物園魅力向上基金,368625,3.68625,とべ動物園魅力向上,capital_program,EHIME-BUDGET-R8-EXPLANATION
中核産業人材確保支援基金,23691,0.23691,中核産業人材確保,program,EHIME-BUDGET-R8-EXPLANATION
森林環境譲与税基金,209335,2.09335,森林環境譲与税を原資とする森林整備等,annual_earmarked,EHIME-BUDGET-R8-EXPLANATION
地域環境保全基金,62033,0.62033,環境保全・災害廃棄物等,program,EHIME-BUDGET-R8-EXPLANATION
子ども子育て応援基金,41341,0.41341,子ども・子育て支援,program,EHIME-BUDGET-R8-EXPLANATION
企業立地資金貸付基金,208592,2.08592,企業立地・産業用地等の貸付資金,revolving_loan,EHIME-BUDGET-R8-EXPLANATION
新型コロナ地方創生臨時基金,201628,2.01628,新型コロナ関連事業・残余精算,closing_program,EHIME-BUDGET-R8-EXPLANATION
高齢者施策推進基金,3779,0.03779,高齢者施策,program,EHIME-BUDGET-R8-EXPLANATION
歴史文化博物館事業推進基金,5000,0.05000,歴史文化博物館事業,program,EHIME-BUDGET-R8-EXPLANATION
デジタル社会形成推進基金,1395915,13.95915,デジタル基盤・システム整備,sunset_or_declining_program,EHIME-BUDGET-R8-EXPLANATION
公立学校情報機器整備基金,3473,0.03473,1人1台端末等の情報機器整備,statutory_sunset_program,EHIME-BUDGET-R8-EXPLANATION
企業立地促進基金,2325831,23.25831,成長産業等の企業立地促進,capital_program,EHIME-BUDGET-R8-EXPLANATION
官民共創推進基金,333536,3.33536,官民共創による課題解決・未来創生,multi_year_program,EHIME-BUDGET-R8-EXPLANATION
TOTAL,35185764,351.85764,一般会計の基金繰入金合計,aggregate_check,EHIME-BUDGET-R8-EXPLANATION
