source_id,document_or_item,status_as_of_2026_09_16,official_url,usable_for,notes
R7-SETTLEMENT-AGENDA,令和7年度愛媛県歳入歳出決算の認定（定第78号）,available_submitted,https://www.pref.ehime.jp/site/gikai/156896.html,R7決算が議会提出済みである事実,2026-09-09提出・第397回定例会審議中
R7-ENTERPRISE-ELECTRIC,令和7年度電気事業会計決算認定（定第79号）,available_submitted,https://www.pref.ehime.jp/site/gikai/156896.html,企業会計決算提出状況,2026-09-09提出
R7-ENTERPRISE-WATER,令和7年度工業用水道事業会計決算認定（定第80号）,available_submitted,https://www.pref.ehime.jp/site/gikai/156896.html,企業会計決算提出状況,2026-09-09提出
R7-ENTERPRISE-HOSPITAL,令和7年度病院事業会計決算認定（定第81号）,available_submitted,https://www.pref.ehime.jp/site/gikai/156896.html,企業会計決算提出状況,2026-09-09提出
R7-HEALTHY-FINANCE-RATIO,令和7年度歳入歳出決算に係る健全化判断比率の報告（報告9）,available_submitted,https://www.pref.ehime.jp/site/gikai/156896.html,R7財政健全化指標の提出状況,議会提出確認
R7-MAJOR-MEASURES,令和7年度主要施策の成果説明書,available,https://www.pref.ehime.jp/page/156424.html,R7施策実績・成果・主要事業の実施状況,全文PDFと章別PDFあり・2026-09-09公表
R7-POST-EVAL,令和7年度事後評価（細施策・事務事業）の結果,available,https://www.pref.ehime.jp/page/158097.html,R7事業実績・KGI/KPI・政策的経費の検証,基金・返還金・特別会計は評価対象外と明記されるため補助資料として使用
R7-FINANCE-AFFAIRS-MAY-R8,財政事情 令和8年5月,available,https://www.pref.ehime.jp/uploaded/attachment/181293.pdf,R7年度の予算執行・基金繰替・県債・財産等,R7基金繰替の借入返済時期を確認可能
R7-BUDGET-FINAL-CORRECTION,令和7年度一般会計補正予算（第8号）等,available,https://www.pref.ehime.jp/site/gikai/135186.html,R7最終予算に近い歳入歳出・基金関連補正,2026-02-25提出・2026-03-19可決
R7-SETTLEMENT-BOOK,令和7年度愛媛県歳入歳出決算書,not_found_public_yet,,基金別R7末残高・一般会計/特別会計決算,公開検索・会計課通常ページで未確認
R7-SETTLEMENT-ANNEX,令和7年度愛媛県歳入歳出決算に関する附属書,not_found_public_yet,,基金/歳入歳出の詳細,公開検索で未確認
R7-PROPERTY-STATEMENT,令和7年度財産に関する調書,not_found_public_yet,,基金・有価証券・財産残高,公開検索で未確認
R7-SETTLEMENT-SUMMARY,令和7年度歳入歳出決算概要説明書,not_found_public_yet,,決算全体の要約・対前年度比較,公開検索で未確認
R7-DEPARTMENTAL-SETTLEMENT,令和7年度部局別一般会計歳入歳出決算額調書,not_found_public_yet,,部局別決算・基金事業執行,公開検索で未確認
R6-PACKAGE-PRECEDENT,令和6年度決算書・附属書・財産調書・概要・部局別調書の公表実績,available_precedent,https://www.pref.ehime.jp/page/134318.html,R7後続公表物の想定セット,R6一式は令和7年12月行政資料として公表済み
